"element_id","element_name","scale_id","value","descr"
"1.A.1.a.1","Oral Comprehension","LV",6,"Understand a lecture on advanced physics"
"1.A.1.a.2","Written Comprehension","LV",6,"Understand an instruction book on repairing Artificial Intelligence systems"
"1.A.1.a.3","Oral Expression","LV",6,"Explain advanced principles of genetics to college freshmen"
"1.A.1.a.4","Written Expression","LV",6,"Write an advanced economics textbook"
"1.A.1.b.1","Fluency of Ideas","LV",6,"Identify as many strategies as possible for a company acquisition and merger"
"1.A.1.b.2","Originality","LV",6,"Invent a new type of man-made fiber"
"1.A.1.b.3","Problem Sensitivity","LV",6,"Recognize an illness at an early stage of a disease when there are only a few symptoms"
"1.A.1.b.4","Deductive Reasoning","LV",6,"Design an aircraft wing using principles of aerodynamics"
"1.A.1.b.5","Inductive Reasoning","LV",6,"Diagnose a disease using results of many different lab tests"
"1.A.1.b.6","Information Ordering","LV",6,"Assemble a wind turbine"
"1.A.1.b.7","Category Flexibility","LV",6,"Classify man-made fibers in terms of their characteristics, like strength or cost"
"1.A.1.c.1","Mathematical Reasoning","LV",6,"Determine the mathematics required to simulate a space craft landing on the moon"
"1.A.1.c.2","Number Facility","LV",5,"Compute the interest payment that should be generated from an investment"
"1.A.1.d.1","Memorization","LV",6,"Recite a 300-word speech after studying it for 15 minutes"
"1.A.1.e.1","Speed of Closure","LV",5,"Interpret patterns on weather radar to decide if the weather is changing"
"1.A.1.e.2","Flexibility of Closure","LV",6,"Identify camouflaged animals from a moving vehicle while on a safari"
"1.A.1.e.3","Perceptual Speed","LV",6,"Inspect electrical parts for defects as they pass on a fast-moving assembly line"
"1.A.1.f.1","Spatial Orientation","LV",6,"Navigate an ocean voyage using a compass and landmarks"
"1.A.1.f.2","Visualization","LV",6,"Anticipate future moves in a chess game"
"1.A.1.g.1","Selective Attention","LV",6,"Study a technical manual while listening to loud construction sounds"
"1.A.1.g.2","Time Sharing","LV",6,"Monitor radar and radio transmissions to keep track of heavy aircraft traffic"
"1.A.2.a.1","Arm-Hand Steadiness","LV",6,"Cut facets in a diamond"
"1.A.2.a.2","Manual Dexterity","LV",7,"Perform open heart surgery with surgical instruments"
"1.A.2.a.3","Finger Dexterity","LV",6,"Put together the inner workings of a small wrist watch"
"1.A.2.b.1","Control Precision","LV",6,"Drill a tooth"
"1.A.2.b.2","Multilimb Coordination","LV",6,"Play the drum set in a jazz band"
"1.A.2.b.3","Response Orientation","LV",7,"In an out-of-control commercial aircraft, react quickly to restore control"
"1.A.2.b.4","Rate Control","LV",5,"Shoot a duck in flight"
"1.A.2.c.1","Reaction Time","LV",6,"Hit the brake when a pedestrian steps in front of your car"
